id,description,short_description
A,Arrived,Arrived
AE,Loaded on Vessel,Loaded on Vessel
AL,Loaded on Rail,Loaded on Rail
AM,Loaded on Truck,Loaded on Trunk
AR,Rail arrival at destination intermodal ramp,Rail Arrival
D,Completed unloading at delivery location,Completed Unload
CR,Carrier Release,Carrier Release
EE,Empty equipment dispatched,Empty dispatched
I,In-gate,In-gate
L,Loading,Loading
OA,Out-gate,Out-gate
RD,Return container,Return container
T,At terminal; intra-terminal movement,At terminal
UV,Unloaded from Vessel,Unloaded Vessel
VA,Vessel arrival,Vessel Arrival
VD,Vessel departure,Vessel Departure
NO,FP,
AV,Available for Delivery,Avaliable Delivery
CT,Customs Released,Customs Released
CU,Carrier and Customs Release,Carrier Release
PA,"Customs hold , intensive examination",Customs Hold
RL,Rail Departure,Rail Departure
UR,Unload from Rail,Unload from Rail
CD,"Received at Origin, Cargo Received at Place of Receipt",Received at Origin
AG,Estimated Arrival,Estimated Arrival
FT,Free Time Expired,Free Time Expired
E,Estimated Arrival,Estimated Arrival
C,Estimated Departure,Estimated Departur
PQ,Customs Hold,Customs Hold
U,Container Unloaded,Container Unloaded
CO,Container Received,Container Received
X1,Container Delivery,Container Delivery
